PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,Geometry,ObjectID,x,y,wkid
ED-0193,,"569,446","3,585,620","3,150",,,,110ALVM,,3231,-11606339.76,3816653.717,102100
ED-0088,,"550,357","3,591,860","3,550",,,60,110ALVM/313CKBF,,3235,-11628898.61,3824213.313,102100
ED-0023,,"560,046","3,636,560","3,326",,,83,110ALVM,,3236,-11617102.25,3877466.913,102100
BW-0458,,"377,107","3,570,710","4,031",,,650,,,3238,-11833798.14,3798329.262,102100
ED-0121,,"569,224","3,589,710","3,190",,,88,313CLBD,,3250,-11606569.17,3821521.037,102100
ED-0058,,"591,308","3,613,870","3,310",,,250,312RSLR,,3257,-11580157.48,3850089.793,102100
TB-0071,3.31E+14,"403,187","3,675,080","4,591",T-03837,,,112QTBF,,3258,-11804187.91,3923249.536,102100
ED-0212,,"576,727","3,585,260","3,080",,,,110ALVM,,3262,-11597724.72,3816162.609,102100
BW-0196,,"401,389","3,659,700","4,395",,,200,,,3265,-11806150.07,3904787.441,102100
BW-0211,,"402,200","3,658,870","4,415",,,"1,300",110ALVM,,3272,-11805173.15,3903802.829,102100
TB-0077,,"405,346","3,679,005","4,821",X,,,260SNAN,,3305,-11801654.96,3927985.707,102100
ED-0049,,"559,234","3,610,870","3,290",,,127,110ALVM,,3310,-11618250.59,3846801.352,102100
ED-0299,,"584,345","3,576,160","3,023",,,89,110ALVM,,3313,-11588798.26,3805272.569,102100
ED-0215,,"576,735","3,583,640","3,101",,,174,110ALVM,,3317,-11597729.88,3814236.028,102100
ED-0047,,"562,129","3,615,260","3,288",,,,110ALVM,,3325,-11614782.59,3852015.971,102100
ED-0216,,"577,544","3,584,060","3,085",,,140,110ALVM,,3338,-11596768.66,3814728.086,102100
BW-0299,,"392,425","3,643,660","4,085",,,262,110ALVM,,3346,-11816629.45,3885473.96,102100
SM-0090,,"438,044","3,609,678","6,716",X,,,300YESO,,3359,-11762065.99,3845360.39,102100
ED-0318,,"608,779","3,577,600","3,250",,,300,231DCKM,,3361,-11559887.88,3806705.61,102100
BW-0906,,"590,226","3,560,310","2,957",,,,110AVMB,,3364,-11582011.05,3786394.139,102100
ED-0338,,"520,262","3,556,860","6,050",,,622,313GOSP,,3366,-11664629.51,3782753.408,102100
ED-0118,,"563,395","3,589,180","3,320",,,618,313CLBD,,3368,-11613475.68,3820936.234,102100
SM-0066,,"449,126","3,649,265","7,365",PN-00777,48,48,300YESO,,3383,-11749158.23,3892726.525,102100
BW-0254,,"406,277","3,658,420","4,510",,,279,110ALVM,,3388,-11800306.9,3903311.463,102100
NM-00253,3.23E+14,"571,310","3,589,740","3,120",,327,290,313CPTN,,3394,-11604098.76,3821539.36,102100
BW-0185,,"399,777","3,661,740","4,355",,,,110ALVM,,3395,-11808097.13,3907212.12,102100
BW-0380,,"406,739","3,628,180","4,062",,,100,110ALVM,,3405,-11799415.39,3867146.387,102100
ED-0247,,"576,753","3,579,980","3,121",,,300,110ALVM/312RSLR,,3409,-11597741.6,3809884.513,102100
ED-0203,,"569,873","3,579,950","3,233",,,200,110ALVM,,3410,-11605880.91,3809908.372,102100
ED-0185,,"567,436","3,586,790","3,180",,,360,313CLBD,,3439,-11608709.67,3818061.641,102100
SM-0077,,"478,911","3,639,555","5,420",PN-00927,100,100,260SNAN,,3463,-11713648.41,3881239.308,102100
TB-0084,3.25E+14,"404,045","3,640,599","4,213",T-04386 S-4,310,295,112QTBF,,3464,-11802760.93,3881956.685,102100
SM-0154,,"450,787","3,646,812","7,521",PN-00728,400,400,300YESO,,3469,-11747164.8,3889800.776,102100
SM-0085,,"435,326","3,625,244","8,713",PN-00382 D,155,155,300YESO,,3472,-11765411.27,3863912.258,102100
SM-0205,,"469,308","3,626,776","5,984",PN-00501,100,100,260SNAN,,3493,-11725030.9,3865936.971,102100
ED-0035,,"606,990","3,628,700","3,780",,,,231DCKM,,3522,-11561354.84,3867601.701,102100
WS-018,,"381,327","3,632,408","3,968",?,200,200,,,3535,-11829679.48,3871871.719,102100
SM-0230,,"473,937","3,654,063","5,755",RA-07029,200,200,300YESO_upper,,3536,-11719614.33,3898587.498,102100
BW-0306,,"406,536","3,646,420","4,404",,,200,110ALVM,,3541,-11799862.06,3888947.967,102100
BW-0464,,"398,254","3,558,700","4,160",,,775,110ALVM,,3545,-11808665.63,3784355.043,102100
TB-0054,,"407,522","3,651,024","4,476",T-00211 POD4,400,345,112QTBF,,3550,-11798739.46,3894469.009,102100
NM-28266,,"656,463","3,568,762","3,489",CP-01057,"5,390","5,390",,,3568,-11503668.14,3795466.202,102100
BW-0438,,"410,624","3,626,190","4,124",,,300,110ALVM,,3572,-11794776.17,3864812.705,102100
BW-0156,,"397,026","3,671,070","4,300",,,117,110ALVM,,3578,-11811495.35,3918363.155,102100
SM-0238,,"452,628","3,635,613","6,749",PN-00826,125,125,300YESO,,3583,-11744908.03,3876417.232,102100
BW-0428,,"407,209","3,625,530","4,045",,,,110ALVM,,3587,-11798827.24,3863987.184,102100
ED-0293,,"580,422","3,572,380","3,125",,,,110ALVM,,3600,-11593472.89,3800820.005,102100
ED-0331,,"570,576","3,563,830","3,260",,,74,110ALVM,,3605,-11605182.38,3790755.838,102100
ED-0322,,"521,032","3,562,970","5,700",,,371,313GOSP,,3612,-11663705.62,3790000.997,102100
ED-0002,,"529,739","3,642,250","3,809",,,,313CKBF,,3620,-11653141.7,3884435.97,102100
BW-0271,,"405,019","3,654,380","4,398",,,,110ALVM,,3624,-11801760.16,3898458.343,102100
ED-0096,,"559,921","3,590,640","3,425",,,70,313CLBD,,3627,-11617579.02,3822698.875,102100
ED-0170,,"556,986","3,586,140","3,560",,,220,313CLBD,,3631,-11621085.21,3817365.413,102100
ED-0148,,"573,813","3,589,700","3,112",,,305,313CLBD,,3643,-11601135.16,3821470.241,102100
ED-0348,,"562,521","3,554,110","3,410",,,,312CSTL,,3645,-11614767.16,3779287.913,102100
SM-0224,,"480,751","3,671,992","5,732",X,,,300YESO,,3649,-11711534.26,3920098.106,102100
ED-0263,,"602,083","3,586,240","3,120",,,,312RSLR,,3650,-11567702.74,3817059.94,102100
ED-0162,,"543,069","3,586,160","3,950",,,74,110ALVM,,3654,-11637560.1,3817471.595,102100
WL-0171,,"540,566","3,660,013","3,726",RA-09581,299,299,,,3656,-11640164.48,3905656.398,102100
BW-0265,,"403,785","3,651,560","4,350",,,150,110ALVM,,3660,-11803197.91,3895067.691,102100
BW-0221,,"400,555","3,658,090","4,350",,,,110ALVM,,3667,-11807125.07,3902848.636,102100
ED-0201,,"571,503","3,583,170","3,157",,,200,110ALVM,,3672,-11603925.54,3813722.986,102100
ED-0219,,"573,498","3,583,180","3,130",,,146,110ALVM,,3685,-11601564.61,3813717.784,102100
BW-0854,,"381,928","3,542,420","4,063",,,148,112ANCH,,3695,-11827713.16,3764852.615,102100
ED-0107,,"571,392","3,591,980","3,160",,,214,313CLBD,,3703,-11603982.78,3824204.211,102100
BW-0155,,"397,026","3,671,070","4,300",,,,110ALVM,,3704,-11811495.35,3918363.155,102100
ED-0007,,"548,733","3,643,770","3,475",,,340,313CKBF,,3719,-11630520.02,3886163.834,102100
ED-0352,,"587,546","3,555,460","2,960",,,,312CSTL,,3721,-11585224.53,3780669.585,102100
SM-0052,,"437,633","3,645,998","8,358",PN-00923?,170,170,300YESO,,3729,-11762825.45,3888737.511,102100
BW-0316,,"406,895","3,639,540","4,255",,,200,110ALVM,,3734,-11799357.19,3880723.076,102100
ED-0064,,"542,621","3,607,770","3,590",,,140,313CKBF,,3737,-11637981.45,3843206.642,102100
ED-0070,,"562,499","3,599,430","3,240",,,,313CLBD,,3747,-11614460.94,3833144.637,102100
ED-0336,,"590,430","3,562,090","2,925",,,100,110ALVM,,3764,-11581751.45,3788503.839,102100
ED-0234,,"573,509","3,581,150","3,167",,,185,110ALVM,,3779,-11601569.14,3811304.124,102100
ED-0102,,"563,281","3,591,920","3,365",,,,313CLBD,,3788,-11613590.21,3824197.601,102100
ED-0211,,"575,916","3,585,250","3,090",,,,110ALVM,,3790,-11598684.72,3816158.037,102100
ED-0175,,"570,263","3,587,220","3,150",,,,313CLBD,,3791,-11605359.45,3818550.1,102100
BW-0228,,"402,185","3,657,250","4,385",,,360,110ALVM,,3793,-11805171.77,3901862.111,102100
TB-0002,,"422,350","3,652,484","6,677",X,120,120,310ABO,,3794,-11781086.71,3896370.539,102100
