"","facility_id","sys_loc_code","loc_name","data_provider","subfacility_code","loc_desc","loc_type","loc_purpose","loc_type_2","loc_major_basin","within_facility_yn","loc_county_code","loc_district_code","loc_state_code","loc_minor_basin","custom_field_1","stream_code","custom_field_2","stream_mile","custom_field_3","custom_field_4","phase_code","custom_field_5","remark_1","bore_id","remark_2","start_date","end_date","drilling_method","geologist","sampling_method","drawing_checker","drawing_check_date","drawing_editor","drawing_edit_date","driller","units","depth_to_bedrock","log_date","total_depth","bearing","approved","plunge","drilling_subcontractor","engineer_subcontractor","engineer","estab_company_code","excav_company_code","inspector","inspect_subcontractor","ebatch","map_code","parent_loc_code","status_flag","timezone_code","euid","land_use","hole_diameter","hole_diameter_unit","alert_purge_criteria","offset","station","route","AgencyCd"
"756",1,"YALEMP03M","YALEMP03M","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-3M",NA,"YLMW-3M",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920842,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"757",1,"YALEMP03MG","YALEMP03MG","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"MP-3M",NA,"MP-3M",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920843,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"758",1,"YALEMP03S","YALEMP03S","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-3S",NA,"YLMW-3S",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920844,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"759",1,"YALEMP03SG","YALEMP03SG","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"MP-3S",NA,"MP-3S",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920845,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"760",1,"YALEMP04D","YALEMP04D","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-4D",NA,"YLMW-4D",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920846,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"761",1,"YALEMP04M","YALEMP04M","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-4M",NA,"YLMW-4M",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920847,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"762",1,"YALEMP04S","YALEMP04S","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-4S",NA,"YLMW-4S",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920848,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"763",1,"YALEMP05D","YALEMP05D","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-5D",NA,"YLMW-5D",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920849,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"764",1,"YALEMP05M","YALEMP05M","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-5M",NA,"YLMW-5M",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920850,NA,NA,NA,NA,NA,NA,NA,"ABQ"
"765",1,"YALEMP05S","YALEMP05S","COA",NA,NA,"LFGMW",NA,NA,NA,"Y","Bernalillo County",NA,"NM",NA,"YLMW-5S",NA,"YLMW-5S",NA,"Yale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357211,NA,NA,"A",NA,1920851,NA,NA,NA,NA,NA,NA,NA,"ABQ"
